StartTime,Dur,TotPkts,TotBytes,SrcBytes,Proto_tcp,Proto_udp,Dir_one,sTosone,Proto_others,Dir_others,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,prediction,Label
2011-08-12 15:25:56.021112,11.337043,11,824,606,1,0,0,0,0,1,tcp,195.68.34.68,52475,->,147.32.86.165,12114,SR_SA,0.0,0,0.0,0
2011-08-12 15:29:25.508940,2.96247,3,182,122,1,0,0,0,0,1,tcp,147.32.86.58,1393,->,77.75.73.156,80,SR_A,0.0,0,0.0,0
2011-08-12 15:30:21.101931,2.962828,4,240,120,1,0,0,0,0,1,tcp,201.54.33.206,2550,->,147.32.86.110,443,S_RA,0.0,0,0.0,0
2011-08-12 15:33:53.620500,767.978638,14,3710,774,1,0,0,0,0,1,tcp,147.32.84.59,49156,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:33:54.633135,767.104309,8,900,397,1,0,0,0,0,1,tcp,147.32.84.59,49158,->,213.199.181.90,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:34:21.307147,752.838135,6,366,246,1,0,0,0,0,1,tcp,147.32.84.59,49271,->,205.188.93.197,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:34:21.354417,753.096497,6,366,246,1,0,0,0,0,1,tcp,147.32.84.59,49274,->,64.12.152.17,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:34:21.354648,753.09668,6,366,246,1,0,0,0,0,1,tcp,147.32.84.59,49275,->,64.12.152.17,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:37:08.317877,1.986249,4,252,132,1,0,0,0,0,1,tcp,221.134.221.114,8204,->,147.32.84.189,51413,S_RA,0.0,0,0.0,0
2011-08-12 15:54:37.937249,17.080999,7,508,208,1,0,0,0,0,1,tcp,109.181.64.70,45636,->,147.32.84.229,13363,SRA_SA,0.0,0,0.0,0
2011-08-12 15:34:18.468504,1782.540894,6,366,246,1,0,0,0,0,1,tcp,147.32.84.59,49180,->,195.93.80.36,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:34:18.468806,1782.542847,6,366,246,1,0,0,0,0,1,tcp,147.32.84.59,49181,->,195.93.80.36,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:41.599165,514.197083,12,2636,638,1,0,0,0,0,1,tcp,147.32.84.59,49156,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:46:41.610072,514.185669,29,6482,2070,1,0,0,0,0,1,tcp,147.32.84.59,49157,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:46:44.085257,1025.428345,11,1080,517,1,0,0,0,0,1,tcp,147.32.84.59,49163,->,213.199.181.90,80,FSRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:46:51.945151,1029.069336,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49183,->,195.113.232.74,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:51.945315,1029.06958,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49184,->,195.113.232.74,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:55:15.795751,513.075989,18,10020,518,1,0,0,0,0,1,tcp,147.32.84.59,49157,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:55:15.795928,513.076111,19,3056,578,1,0,0,0,0,1,tcp,147.32.84.59,49158,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:55:15.796235,513.075256,16,1922,382,1,0,0,0,0,1,tcp,147.32.84.59,49156,->,147.32.80.7,80,SRPA_FSPA,0.0,0,0.0,0
2011-08-12 15:34:19.241994,1782.973145,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49233,->,195.113.232.89,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:34:19.242171,1782.973511,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49234,->,195.113.232.89,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:51.945470,1029.070312,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49185,->,195.113.232.74,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:52.100971,1029.039307,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49206,->,195.113.232.73,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:52.102890,1029.041626,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49207,->,195.113.232.73,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:52.105105,1029.053101,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49211,->,195.113.232.73,80,FSA_FSA,0.0,0,0.0,0
2011-08-12 15:46:52.155151,1029.049194,7,638,246,1,0,0,0,0,1,tcp,147.32.84.59,49222,->,174.37.29.146,80,SRA_FSPA,0.0,0,0.0,0
2011-08-12 15:46:52.155316,1029.049194,7,638,246,1,0,0,0,0,1,tcp,147.32.84.59,49223,->,174.37.29.146,80,SRA_FSPA,0.0,0,0.0,0
2011-08-12 15:46:52.157995,1029.08374,7,1583,1005,1,0,0,0,0,1,tcp,147.32.84.59,49226,->,173.192.61.230,80,SRPA_FSA,0.0,0,0.0,0
2011-08-12 15:46:52.159223,1029.083374,7,1614,1005,1,0,0,0,0,1,tcp,147.32.84.59,49227,->,173.192.61.230,80,SRPA_FSA,0.0,0,0.0,0
2011-08-12 15:34:19.242695,1782.973267,6,372,246,1,0,0,0,0,1,tcp,147.32.84.59,49235,->,195.113.232.89,80,FSA_FSA,0.0,0.0,0.0,0
2011-08-12 15:46:46.582190,1768.620483,6,416,276,1,0,0,0,0,1,tcp,147.32.84.59,1507,->,195.113.232.82,80,FSA_FSA,0.0,0.0,0.0,0
2011-08-12 15:46:53.024644,1029.779175,9,552,306,1,0,0,0,0,1,tcp,147.32.84.59,49254,->,64.236.144.246,80,FSRA_FSRA,0.0,0.0,0.0,0
2011-08-12 15:59:44.999298,1192.416382,6,412,272,1,0,0,0,0,1,tcp,147.32.84.59,60820,->,74.125.232.194,80,FSA_FSA,0.0,0.0,0.0,0
2011-08-12 15:59:44.999509,1192.416382,6,412,272,1,0,0,0,0,1,tcp,147.32.84.59,60821,->,74.125.232.194,80,FSA_FSA,0.0,0.0,0.0,0
2011-08-12 16:06:01.469666,198.716919,13,4843,740,1,0,0,0,0,1,tcp,61.158.100.233,3665,->,147.32.87.44,80,SRPA_FSPA,0.0,0.0,0.0,0
2011-08-12 16:07:22.678400,3.009097,3,186,126,1,0,0,0,0,1,tcp,147.32.84.59,50256,->,64.236.90.9,80,SR_A,0.0,0.0,0.0,0
2011-08-12 16:11:43.949227,0.0,1,60,60,1,0,0,0,0,1,tcp,46.182.106.6,80,?>,147.32.86.36,27806,RA_,0.0,,0.0,0
2011-08-12 16:13:46.385613,534.135925,3,180,120,1,0,0,0,0,1,tcp,77.201.239.105,60733,->,147.32.87.156,80,SR_SA,0.0,0.0,0.0,0
